decade_num,decade_label,primary_genre,movie_count,median_runtime
1870.0,1870s,Documentary,2,1.0
1880.0,1880s,Documentary,4,1.0
1890.0,1890s,Fantasy,8,1.5
1890.0,1890s,Drama,2,1.0
1890.0,1890s,Documentary,26,1.0
1890.0,1890s,Horror,3,1.0
1890.0,1890s,Family,1,1.0
1890.0,1890s,Comedy,9,1.0
1890.0,1890s,Action,1,1.0
1890.0,1890s,History,1,1.0
1900.0,1900s,History,1,60.0
1900.0,1900s,Adventure,4,15.0
1900.0,1900s,Drama,7,10.0
1900.0,1900s,Action,2,9.0
1900.0,1900s,Thriller,1,8.0
1900.0,1900s,Science Fiction,2,5.5
1900.0,1900s,Horror,2,4.0
1900.0,1900s,Fantasy,15,4.0
1900.0,1900s,Comedy,17,3.0
1900.0,1900s,Music,1,3.0
1900.0,1900s,Animation,1,2.0
1900.0,1900s,Crime,2,2.0
1900.0,1900s,Documentary,12,1.0
1900.0,1900s,Romance,2,1.0
1910.0,1910s,History,2,109.0
1910.0,1910s,War,2,108.0
1910.0,1910s,Mystery,3,84.0
1910.0,1910s,Adventure,8,70.0
1910.0,1910s,Romance,6,68.5
1910.0,1910s,Drama,52,65.0
1910.0,1910s,Western,4,60.5
1910.0,1910s,Crime,7,59.0
1910.0,1910s,Family,1,52.0
1910.0,1910s,Documentary,2,43.5
1910.0,1910s,Horror,2,38.5
1910.0,1910s,Action,1,29.0
1910.0,1910s,Comedy,54,27.0
1910.0,1910s,Fantasy,6,14.5
1910.0,1910s,Animation,5,12.0
1920.0,1920s,Science Fiction,1,120.0
1920.0,1920s,Music,2,114.0
1920.0,1920s,War,4,106.0
1920.0,1920s,History,4,105.5
1920.0,1920s,Adventure,22,97.5
1920.0,1920s,Thriller,4,93.5
1920.0,1920s,Action,18,90.5
1920.0,1920s,Drama,165,90.0
1920.0,1920s,Western,10,88.5
1920.0,1920s,Romance,18,88.0
1920.0,1920s,Crime,16,83.0
1920.0,1920s,Horror,5,83.0
1920.0,1920s,Comedy,92,67.0
1920.0,1920s,Documentary,18,67.0
1920.0,1920s,Fantasy,4,66.0
